year,genre,duration,country,avg_vote,votes,rlwide_gross_income,reviews_from_critics
2005,"Horror, Thriller",74,USA,3.2,1965,20166,27
2018,"Action, Adventure, Crime",90,"UK, USA",3.2,326,20342,
2000,"Comedy, Horror, Romance",96,USA,6.1,1589,20400,27
2014,"Comedy, Drama, Romance",95,USA,7.1,3956,20441,20
2015,"Drama, Thriller",113,Brazil,6.9,240,20584,4
2012,Adventure,80,Sweden,6,214,20683,7
2013,"Comedy, Romance",105,USA,6.6,4313,20700,33
2017,"Action, Crime, Drama",112,Denmark,6.7,4835,20827,52
2017,Drama,102,"Iran, Canada, Qatar",6.7,222,20940,46
2016,"Comedy, Horror, Thriller",87,USA,4.8,298,21031,10
2017,Drama,96,"Canada, France, Morocco",6.5,298,21140,9
2009,Drama,120,France,6.6,269,21147,10
1996,"Crime, Drama, Romance",105,"UK, Ireland",6.2,254,21264,6
2002,Thriller,94,"Canada, USA",5.7,186,21285,7
1957,"Drama, Romance",93,UK,7.2,393,21371,10
2015,Drama,97,Brazil,6.3,127,21382,
1996,"Crime, Drama",122,USA,6.2,3569,21508,15
1976,"Action, Drama",80,Hong Kong,6,106,21528,3
2019,"Action, Thriller",138,India,5.2,469,21557,4
2009,Drama,104,USA,5.2,446,21648,13
2016,"Action, Drama, War",84,USA,3.2,2217,21701,18
2009,Drama,91,France,6.7,493,21857,26
2007,"Comedy, Drama, Music",106,USA,6.8,1046,22011,31
2002,"Drama, Music",118,Hungary,5.2,138,22046,2
2009,Drama,97,Russia,5.8,158,22104,1
2007,Drama,119,Taiwan,6.3,227,22211,18
2016,"Action, Crime, Drama",90,USA,4.2,957,22253,19
2008,"Drama, Thriller",102,USA,5.8,2542,22282,33
1982,"Sci-Fi, Thriller",106,West Germany,5.8,579,22440,20
2016,"Crime, Horror, Mystery",91,"Ireland, Germany, USA",5.3,3942,22504,23
2012,"Action, Romance, Thriller",140,India,4.8,155,22614,
2019,Thriller,88,USA,5.6,1476,22700,15
2016,"Action, Adventure, Drama",129,India,4.6,1582,22886,17
1996,"Crime, Drama",101,USA,6.3,2073,22891,32
2012,Drama,120,"Spain, France",6,190,23063,10
2016,"Drama, Mystery",120,Japan,6.8,753,23096,12
2009,Drama,101,"Brazil, France",6.7,660,23177,17
2006,Drama,134,USA,6.6,553,23457,8
1977,Drama,144,USA,8,8006,23488,55
2005,Horror,115,"Japan, South Korea",5.5,924,23703,29
2017,"Fantasy, Horror",86,USA,4.3,1025,23751,41
2019,"Action, Thriller",107,India,6,595,23876,11
2011,Comedy,65,Russia,4,127,23891,
